"","lon","lat","anom"
"733",62.5,-37.5,-1.13514006137848
"734",67.5,-37.5,-1.35440874099731
"735",72.5,-37.5,-1.36570882797241
"736",77.5,-37.5,-1.15041410923004
"737",82.5,-37.5,-1.08954465389252
"738",87.5,-37.5,-0.865372478961945
"739",92.5,-37.5,-0.574573576450348
"740",97.5,-37.5,-0.303425192832947
"741",102.5,-37.5,-0.0570949241518974
"742",107.5,-37.5,0.0131823364645243
"743",112.5,-37.5,-0.0416242741048336
"744",117.5,-37.5,0.0501095317304134
"745",122.5,-37.5,0.250738590955734
"746",127.5,-37.5,0.268157243728638
"747",132.5,-37.5,0.275899082422256
"748",137.5,-37.5,0.355303645133972
"749",142.5,-37.5,0.540881931781769
"750",147.5,-37.5,0.923238039016724
"751",152.5,-37.5,0.742663025856018
